Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
10/03/2004;18.00.00;2,6;1360;150;11,88172349;1045,5;166;1056,25;113;1692;1267,5;13,5999999;48,87500095;0,757753825
10/03/2004;19.00.00;2;1292,25;112;9,39716489;954,75;103;1173,75;92;1558,75;972,25;13,29999995;47,69999981;0,725487449
10/03/2004;20.00.00;2,2;1402;88;8,997816871;939,25;131;1140;114;1554,5;1074;11,9000001;53,97500038;0,750239067
10/03/2004;21.00.00;2,2;1375,5;80;9,228796421;948,25;172;1092;122;1583,75;1203,25;11;60;0,786712533
10/03/2004;22.00.00;1,6;1272,25;51;6,518223669;835,5;131;1205;116;1490;1110;11,1500001;59,57500076;0,788794232
10/03/2004;23.00.00;1,2;1197;38;4,741012362;750,25;89;1336,5;96;1393;949,25;11,17500019;59,17500019;0,784771664
11/03/2004;00.00.00;1,2;1185;31;3,62439919;689,5;62;1461,75;77;1332,75;732,5;11,32499981;56,77499962;0,760311939
11/03/2004;01.00.00;1;1136,25;31;3,326676992;672;62;1453,25;76;1332,75;729,5;10,67499995;60;0,770238458
11/03/2004;02.00.00;0,9;1094;24;2,339416195;608,5;45;1579;60;1276;619,5;10,6500001;59,67499924;0,764818726
11/03/2004;03.00.00;0,6;1009,75;19;1,696658258;560,75;0;1705;0;1234,75;501,25;10,25000024;60,20000076;0,751657165
11/03/2004;04.00.00;0;1011;14;1,293619757;526,75;21;1817,5;34;1196,75;445,25;10,07500005;60,47499943;0,746494516
11/03/2004;05.00.00;0,7;1066;8;1,133430571;512;16;1918;28;1182;421,75;10,99999976;56,17500019;0,7365596
11/03/2004;06.00.00;0,7;1051,75;16;1,60376788;553,25;34;1738,25;48;1221,25;471,5;10,45000005;58,125;0,735295083
11/03/2004;07.00.00;1,1;1144;29;3,243618147;667;98;1489,75;82;1339;729,75;10,20000005;59,59999943;0,741736163
11/03/2004;08.00.00;2;1333,25;64;8,013772987;899,75;174;1136;112;1517;1101,5;10,75;57,42500019;0,740794576
11/03/2004;09.00.00;2,2;1351;87;9,540642925;960,25;129;1079;101;1582,75;1027,75;10,5;60,59999847;0,769110793
11/03/2004;10.00.00;1,7;1233,25;77;6,335782437;827,25;112;1218;98;1445,75;859,75;10,79999995;58,35000038;0,755183083
11/03/2004;11.00.00;1,5;1178,75;43;4,971583761;762;95;1327,5;92;1361,75;670,5;10,49999976;57,92500019;0,73516078
11/03/2004;12.00.00;1,6;1236;61;5,216919;774,25;104;1301,25;95;1401,25;664;9,524999857;66,77499866;0,795053789
11/03/2004;13.00.00;1,9;1285,5;63;7,269933358;868,5;146;1162,25;112;1536,75;799;8,299999833;76,42500114;0,839268068
11/03/2004;14.00.00;2,9;1371;164;11,53900721;1033,5;207;983,25;128;1730,25;1036,5;8;81,14999962;0,873588534
11/03/2004;15.00.00;2,2;1310;79;8,826222726;932,5;184;1081,75;126;1646,5;946,25;8,325000167;79,79999924;0,877784445
11/03/2004;16.00.00;2,2;1291,75;95;8,301413417;911,5;193;1102,5;131;1590,75;956,75;9,700000048;71,15000153;0,856938128
11/03/2004;17.00.00;2,9;1383;150;11,15158122;1019,75;243;1008;135;1718,75;1104;9,775000095;67,62499809;0,818501207
11/03/2004;18.00.00;4,8;1580,75;307;20,79921686;1318,5;281;798,5;151;2083;1408,5;10,3499999;64,17499924;0,806543633
11/03/2004;19.00.00;6,9;1775,5;461;27,35980749;1487,75;383;702,25;172;2332,5;1704;9,650000095;69,30000114;0,831921144
11/03/2004;20.00.00;6,1;1640;401;24,01775694;1404;351;742,75;165;2191,25;1653,75;9,649999857;67,75;0,813313935
11/03/2004;21.00.00;3,9;1312,75;197;12,77936825;1076,25;240;957,25;136;1706,5;1284,75;9,125;63,97499943;0,741924224
11/03/2004;22.00.00;1,5;964,5;61;4,707071919;748,5;94;1325,25;85;1332,5;821;8,175000191;63,39999962;0,690484447
11/03/2004;23.00.00;1;912,75;26;2,64572151;629,25;47;1564,5;53;1252,25;551,75;8,249999881;60,82499886;0,66574436
12/03/2004;00.00.00;1,7;1080,25;55;5,854801514;805;122;1253,5;97;1375;815,5;8,325000286;58,52500057;0,64376361
12/03/2004;01.00.00;1,9;1043,75;53;6,37429751;829;133;1247,25;110;1378,25;831,5;7,725000143;59,67499924;0,63076606
12/03/2004;02.00.00;1,4;987,75;40;4,132341795;718;82;1395,5;91;1303,5;691,5;7,125;61,79999924;0,627597369
12/03/2004;03.00.00;0,8;888,75;21;1,869444635;574,25;0;1680,25;0;1187;512;6,975000024;62,27499962;0,626107528
12/03/2004;04.00.00;0;831;10;1,068292612;505,75;21;1892,75;32;1133,75;384;6,100000024;65,90000153;0,624753632
12/03/2004;05.00.00;0,6;847,25;7;1,022414599;501,25;30;1894,5;44;1154,75;394;6,274999976;64,97500038;0,623282321
12/03/2004;06.00.00;0,8;927;17;1,830431226;571,25;56;1684,75;71;1222,75;486,5;6,75;62,94999981;0,623427539
12/03/2004;07.00.00;1,4;1090,5;33;4,359340997;730,25;109;1387;104;1360,75;748,25;6,449999928;65,07500172;0,631628114
12/03/2004;08.00.00;4,4;1587;202;17,8655867;1235,5;307;896,5;141;1900,25;1400,25;7,325000048;63,14999962;0,649933139
12/03/2004;09.00.00;0;1544,5;0;22,07416206;1353;0;767,25;0;2058;1587,75;9,225000024;56,19999886;0,656065119
12/03/2004;10.00.00;3,1;1350,25;208;14,02701137;1117,5;187;912;122;1711,75;1237;13,2249999;41,74999905;0,631950131
12/03/2004;11.00.00;2,7;1262,75;166;11,64564656;1037,25;216;969;143;1598,25;1166,5;14,32500005;38,44999981;0,624304294
12/03/2004;12.00.00;2,1;1206,25;114;10,22466214;986;143;1034,5;113;1537;959;15,0250001;36,5;0,619532323
12/03/2004;13.00.00;2,5;1251,5;140;11,03993604;1015,75;160;1007,5;116;1592,75;983;16,10000014;34,47499943;0,62616474
12/03/2004;14.00.00;2,7;1287;169;12,8164462;1077,5;163;948,75;123;1660,25;1060,75;16,27500057;35,72500038;0,656030612
